RegionName,ParkName,ParkType,Year,TRV
Alaska Region,Denali NP & PRES,National Park,2008,432309
Alaska Region,Denali NP & PRES,National Park,2009,358041
Alaska Region,Denali NP & PRES,National Park,2010,378855
Alaska Region,Denali NP & PRES,National Park,2011,406582
Alaska Region,Denali NP & PRES,National Park,2012,388433
Alaska Region,Denali NP & PRES,National Park,2013,530922
Alaska Region,Denali NP & PRES,National Park,2014,531315
Alaska Region,Denali NP & PRES,National Park,2015,560757
Alaska Region,Denali NP & PRES,National Park,2016,587412
Alaska Region,Denali NP & PRES,National Park,2017,642809
Alaska Region,Denali NP & PRES,National Park,2018,594660
Alaska Region,Denali NP & PRES,National Park,2019,601152
Alaska Region,Denali NP & PRES,National Park,2020,54850
Alaska Region,Gates of the Arctic NP & PRES,National Park,1904,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1905,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1906,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1907,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1908,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1909,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1910,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1911,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1912,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1913,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1914,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1915,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1916,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1917,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1918,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1919,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1920,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1921,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1922,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1923,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1924,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1925,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1926,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1927,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1928,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1929,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1930,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1931,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1932,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1933,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1934,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1935,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1936,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1937,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1938,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1939,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1940,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1941,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1942,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1943,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1944,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1945,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1946,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1947,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1948,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1949,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1950,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1951,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1952,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1953,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1954,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1955,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1956,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1957,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1958,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1959,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1960,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1961,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1962,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1963,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1964,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1965,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1966,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1967,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1968,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1969,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1970,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1971,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1972,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1973,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1974,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1975,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1976,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1977,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1978,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1979,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1980,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1981,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1982,1381
Alaska Region,Gates of the Arctic NP & PRES,National Park,1983,2138
Alaska Region,Gates of the Arctic NP & PRES,National Park,1984,2440
Alaska Region,Gates of the Arctic NP & PRES,National Park,1985,1381
Alaska Region,Gates of the Arctic NP & PRES,National Park,1986,2801
Alaska Region,Gates of the Arctic NP & PRES,National Park,1987,1060
Alaska Region,Gates of the Arctic NP & PRES,National Park,1988,1258
Alaska Region,Gates of the Arctic NP & PRES,National Park,1989,822
Alaska Region,Gates of the Arctic NP & PRES,National Park,1990,1010
Alaska Region,Gates of the Arctic NP & PRES,National Park,1991,1154
Alaska Region,Gates of the Arctic NP & PRES,National Park,1992,2116
Alaska Region,Gates of the Arctic NP & PRES,National Park,1993,2245
Alaska Region,Gates of the Arctic NP & PRES,National Park,1994,1726
Alaska Region,Gates of the Arctic NP & PRES,National Park,1995,7074
Alaska Region,Gates of the Arctic NP & PRES,National Park,1996,6448
Alaska Region,Gates of the Arctic NP & PRES,National Park,1997,6949
Alaska Region,Gates of the Arctic NP & PRES,National Park,1998,8266
Alaska Region,Gates of the Arctic NP & PRES,National Park,1999,8166
Alaska Region,Gates of the Arctic NP & PRES,National Park,2000,11278
Alaska Region,Gates of the Arctic NP & PRES,National Park,2001,4505
Alaska Region,Gates of the Arctic NP & PRES,National Park,2002,6648
Alaska Region,Gates of the Arctic NP & PRES,National Park,2003,5075
Alaska Region,Gates of the Arctic NP & PRES,National Park,2004,10282
Alaska Region,Gates of the Arctic NP & PRES,National Park,2005,9459
Alaska Region,Gates of the Arctic NP & PRES,National Park,2006,9982
Alaska Region,Gates of the Arctic NP & PRES,National Park,2007,10942
Alaska Region,Gates of the Arctic NP & PRES,National Park,2008,11397
Alaska Region,Gates of the Arctic NP & PRES,National Park,2009,9975
Alaska Region,Gates of the Arctic NP & PRES,National Park,2010,10840
Alaska Region,Gates of the Arctic NP & PRES,National Park,2011,11623
Alaska Region,Gates of the Arctic NP & PRES,National Park,2012,10899
Alaska Region,Gates of the Arctic NP & PRES,National Park,2013,11012
Alaska Region,Gates of the Arctic NP & PRES,National Park,2014,12669
Alaska Region,Gates of the Arctic NP & PRES,National Park,2015,10745
Alaska Region,Gates of the Arctic NP & PRES,National Park,2016,10047
Alaska Region,Gates of the Arctic NP & PRES,National Park,2017,11177
Alaska Region,Gates of the Arctic NP & PRES,National Park,2018,9591
Alaska Region,Gates of the Arctic NP & PRES,National Park,2019,10518
Alaska Region,Gates of the Arctic NP & PRES,National Park,2020,2872
Alaska Region,Glacier Bay NP & PRES,National Park,1904,
Alaska Region,Glacier Bay NP & PRES,National Park,1905,
Alaska Region,Glacier Bay NP & PRES,National Park,1906,
